Datetime,Appliance_Type,Temperature,Humidity,Usage_Duration_hr,Energy_Consumption_kWh
2024-01-11 00:00:00,Fan,17.8,64.8,2.06,0.416
2024-01-11 01:00:00,Fan,19.1,47.3,1.07,0.234
2024-01-11 02:00:00,Fan,19.6,62.3,3.5,0.699
2024-01-11 03:00:00,Air Conditioner,23.8,40.5,3.59,8.168
2024-01-11 04:00:00,Heater,33.7,30.2,1.11,2.785
2024-01-11 05:00:00,Fan,18.4,49.8,1.4,0.284
2024-01-11 06:00:00,Air Conditioner,19.9,34.0,8.49,19.544
2024-01-11 07:00:00,Fan,21.7,60.2,0.53,0.077
2024-01-11 08:00:00,Fan,24.0,41.0,0.59,0.058
2024-01-11 09:00:00,Bulb,23.3,47.7,0.3,0.062
2024-01-11 10:00:00,Refrigerator,28.4,33.5,3.39,4.058
2024-01-11 11:00:00,Air Conditioner,9.9,41.5,2.05,4.716
2024-01-11 12:00:00,Bulb,10.1,61.3,0.17,0.003
2024-01-11 13:00:00,Refrigerator,19.5,36.1,6.01,7.208
2024-01-11 14:00:00,Washing Machine,27.5,55.9,1.97,3.916
2024-01-11 15:00:00,Microwave,14.2,66.7,2.85,4.228
2024-01-11 16:00:00,Fan,7.0,57.2,0.07,0.038
2024-01-11 17:00:00,TV,24.9,62.4,1.05,0.286
2024-01-11 18:00:00,Microwave,23.2,34.4,1.8,2.707
2024-01-11 19:00:00,Heater,16.5,40.0,1.17,2.957
2024-01-11 20:00:00,TV,17.1,65.8,1.65,0.465
2024-01-11 21:00:00,Fan,17.2,58.6,2.55,0.451
2024-01-11 22:00:00,Heater,22.6,55.6,0.7,1.88
2024-01-11 23:00:00,Dishwasher,18.9,56.6,2.83,5.072
2024-01-12 00:00:00,Bulb,24.5,46.6,0.27,0.058
2024-01-12 01:00:00,Laptop,7.7,31.8,0.47,0.168
2024-01-12 02:00:00,TV,17.7,61.4,0.07,0.059
2024-01-12 03:00:00,Laptop,16.4,57.1,0.68,0.087
2024-01-12 04:00:00,Air Conditioner,20.7,48.9,0.72,1.645
2024-01-12 05:00:00,Refrigerator,19.3,66.0,2.45,2.903
2024-01-12 06:00:00,Bulb,26.0,43.4,1.59,0.203
2024-01-12 07:00:00,Bulb,12.7,41.8,0.86,0.114
2024-01-12 08:00:00,Bulb,22.2,64.9,1.58,0.133
2024-01-12 09:00:00,Fan,24.8,61.9,0.08,-0.036
2024-01-12 10:00:00,Dishwasher,31.3,50.6,0.3,0.471
2024-01-12 11:00:00,Dishwasher,19.6,35.2,1.48,2.712
2024-01-12 12:00:00,Laptop,23.6,38.6,1.54,0.237
2024-01-12 13:00:00,TV,13.0,56.2,2.23,0.68
2024-01-12 14:00:00,Laptop,10.0,45.4,0.77,0.075
2024-01-12 15:00:00,Laptop,26.2,63.5,1.92,0.215
2024-01-12 16:00:00,Bulb,22.0,68.0,1.73,0.221
2024-01-12 17:00:00,Refrigerator,27.9,62.2,4.96,5.956
2024-01-12 18:00:00,Air Conditioner,15.1,45.1,0.36,0.881
2024-01-12 19:00:00,Heater,24.6,61.5,1.2,2.989
2024-01-12 20:00:00,Microwave,31.3,44.1,1.38,2.06
2024-01-12 21:00:00,Heater,24.1,36.7,9.91,24.808
2024-01-12 22:00:00,Dishwasher,23.4,31.3,0.34,0.643
2024-01-12 23:00:00,Microwave,22.0,45.4,1.11,1.706
2024-01-13 00:00:00,Refrigerator,14.1,66.1,0.64,0.75
2024-01-13 01:00:00,Microwave,28.8,39.6,1.12,1.71
2024-01-13 02:00:00,Heater,18.9,38.3,0.4,1.046
2024-01-13 03:00:00,Heater,24.5,68.8,0.07,0.178
2024-01-13 04:00:00,Bulb,14.2,31.0,1.27,0.102
2024-01-13 05:00:00,Air Conditioner,16.1,61.4,0.61,1.479
2024-01-13 06:00:00,Heater,29.2,42.9,0.3,0.72
2024-01-13 07:00:00,Dishwasher,20.3,31.5,0.59,1.088
2024-01-13 08:00:00,Laptop,29.3,66.7,0.08,0.008
2024-01-13 09:00:00,Washing Machine,21.6,35.6,4.51,8.922
2024-01-13 10:00:00,TV,12.8,52.1,1.31,0.448
2024-01-13 11:00:00,Heater,26.5,41.0,2.53,6.185
2024-01-13 12:00:00,Heater,19.1,32.6,0.83,1.964
2024-01-13 13:00:00,Microwave,25.5,32.0,3.5,5.283
2024-01-13 14:00:00,Microwave,22.1,34.6,0.99,1.512
2024-01-13 15:00:00,TV,14.3,32.9,1.28,0.352
2024-01-13 16:00:00,Laptop,22.8,60.4,1.02,0.16
2024-01-13 17:00:00,Fan,33.0,49.4,1.98,0.27
2024-01-13 18:00:00,Dishwasher,24.5,43.7,1.25,2.293
2024-01-13 19:00:00,Refrigerator,21.7,46.7,0.48,0.583
2024-01-13 20:00:00,Laptop,27.4,67.2,0.24,0.033
2024-01-13 21:00:00,Refrigerator,23.1,66.4,1.4,1.678
2024-01-13 22:00:00,Air Conditioner,23.0,58.6,1.01,2.342
2024-01-13 23:00:00,Heater,16.5,65.4,0.15,0.377
2024-01-14 00:00:00,Heater,23.2,42.8,0.76,1.795
2024-01-14 01:00:00,Fan,27.2,45.2,1.08,0.327
2024-01-14 02:00:00,Bulb,17.8,54.5,2.63,0.323
2024-01-14 03:00:00,TV,29.1,54.9,0.12,-0.029
2024-01-14 04:00:00,Air Conditioner,21.5,49.3,0.64,1.461
2024-01-14 05:00:00,Washing Machine,17.6,46.0,2.59,5.177
2024-01-14 06:00:00,Washing Machine,27.0,69.4,1.57,3.19
2024-01-14 07:00:00,Refrigerator,20.6,62.8,0.51,0.508
2024-01-14 08:00:00,Microwave,25.8,47.4,2.8,4.175
2024-01-14 09:00:00,Laptop,20.5,59.1,1.02,0.065
2024-01-14 10:00:00,TV,21.7,40.8,1.03,0.296
2024-01-14 11:00:00,Refrigerator,24.5,34.0,5.63,6.734
2024-01-14 12:00:00,Fan,23.5,44.1,4.41,0.886
2024-01-14 13:00:00,Laptop,12.0,46.1,0.67,0.07
2024-01-14 14:00:00,Microwave,16.4,30.7,0.23,0.303
2024-01-14 15:00:00,TV,26.6,62.6,0.59,0.208
2024-01-14 16:00:00,Air Conditioner,21.3,44.4,0.05,0.13
2024-01-14 17:00:00,Washing Machine,19.4,53.2,0.03,0.091
2024-01-14 18:00:00,Air Conditioner,15.2,33.0,0.76,1.728
2024-01-14 19:00:00,Laptop,16.6,37.0,4.25,0.608
2024-01-14 20:00:00,Heater,11.9,65.6,3.08,7.684
2024-01-14 21:00:00,Heater,21.5,54.3,1.07,2.711
2024-01-14 22:00:00,Heater,19.0,68.0,1.25,3.015
2024-01-14 23:00:00,Heater,17.2,70.0,0.01,0.042
2024-01-15 00:00:00,Bulb,21.7,44.9,0.36,0.052
2024-01-15 01:00:00,Laptop,23.8,42.0,0.04,0.009
2024-01-15 02:00:00,Dishwasher,32.5,64.3,2.11,3.785
2024-01-15 03:00:00,Heater,14.4,69.9,0.24,0.462
2024-01-15 04:00:00,Dishwasher,27.8,55.2,3.05,5.467
2024-01-15 05:00:00,Dishwasher,26.9,61.8,1.55,2.873
2024-01-15 06:00:00,Washing Machine,18.1,61.3,0.39,0.782
2024-01-15 07:00:00,Air Conditioner,23.0,44.2,0.26,0.577
2024-01-15 08:00:00,Air Conditioner,19.7,53.0,1.48,3.409
2024-01-15 09:00:00,TV,22.9,63.3,3.47,1.058
2024-01-15 10:00:00,TV,29.5,57.5,1.9,0.603
2024-01-15 11:00:00,Heater,25.0,30.8,0.64,1.596
2024-01-15 12:00:00,Air Conditioner,24.5,43.5,1.33,3.075
2024-01-15 13:00:00,TV,19.8,35.8,0.56,0.251
2024-01-15 14:00:00,Dishwasher,14.6,39.3,10.6,19.139
2024-01-15 15:00:00,Bulb,21.0,66.2,2.07,0.324
2024-01-15 16:00:00,TV,28.0,31.5,1.43,0.396
2024-01-15 17:00:00,Washing Machine,14.4,38.8,0.83,1.735
2024-01-15 18:00:00,Heater,16.7,42.4,1.44,3.571
2024-01-15 19:00:00,TV,22.6,54.7,0.63,0.206
2024-01-15 20:00:00,Heater,17.1,51.4,0.04,0.146
2024-01-15 21:00:00,Microwave,18.0,38.7,0.75,1.105
2024-01-15 22:00:00,Fan,19.9,36.6,4.0,0.804
2024-01-15 23:00:00,Microwave,15.2,39.5,1.48,2.26
2024-01-16 00:00:00,Air Conditioner,17.1,50.1,0.13,0.267
2024-01-16 01:00:00,TV,25.5,40.8,3.24,1.057
2024-01-16 02:00:00,Dishwasher,15.5,67.9,0.47,0.776
2024-01-16 03:00:00,Microwave,14.0,48.6,0.42,0.726
2024-01-16 04:00:00,Fan,18.8,32.4,0.53,0.156
2024-01-16 05:00:00,Air Conditioner,25.7,59.2,1.29,2.965
2024-01-16 06:00:00,Fan,21.0,43.2,1.18,0.216
2024-01-16 07:00:00,Fan,19.7,56.1,1.01,0.177
2024-01-16 08:00:00,Washing Machine,22.2,41.2,1.9,3.786
2024-01-16 09:00:00,Heater,13.3,52.8,0.57,1.425
2024-01-16 10:00:00,Heater,24.5,60.9,2.29,5.776
2024-01-16 11:00:00,Heater,23.9,67.1,0.29,0.821
2024-01-16 12:00:00,Heater,20.0,40.4,2.29,5.733
2024-01-16 13:00:00,TV,27.0,43.4,1.64,0.448
2024-01-16 14:00:00,Heater,16.4,48.6,1.72,4.283
2024-01-16 15:00:00,Refrigerator,27.6,67.1,0.99,1.173
2024-01-16 16:00:00,Bulb,22.8,66.1,1.65,0.113
2024-01-16 17:00:00,Heater,20.3,33.6,0.12,0.253
2024-01-16 18:00:00,Bulb,21.9,35.3,2.86,0.391
2024-01-16 19:00:00,Refrigerator,21.5,49.8,0.09,0.118
2024-01-16 20:00:00,Heater,28.1,34.3,0.24,0.562
2024-01-16 21:00:00,TV,16.6,43.8,1.29,0.428
2024-01-16 22:00:00,TV,18.2,35.9,2.02,0.546
2024-01-16 23:00:00,Bulb,27.2,55.4,0.12,-0.043
2024-01-17 00:00:00,Laptop,19.0,68.0,3.8,0.53
2024-01-17 01:00:00,Bulb,26.5,69.9,5.45,0.628
2024-01-17 02:00:00,Refrigerator,30.5,45.0,1.4,1.664
2024-01-17 03:00:00,Washing Machine,20.0,54.0,0.98,1.847
2024-01-17 04:00:00,Laptop,25.4,64.3,2.03,0.365
2024-01-17 05:00:00,Bulb,16.2,34.7,0.6,0.044
2024-01-17 06:00:00,Fan,25.8,57.6,1.02,0.111
2024-01-17 07:00:00,Air Conditioner,23.0,46.4,3.72,8.536
2024-01-17 08:00:00,Air Conditioner,24.4,38.2,4.67,10.775
2024-01-17 09:00:00,Laptop,18.8,46.1,3.93,0.609
2024-01-17 10:00:00,Refrigerator,13.7,33.0,0.46,0.638
2024-01-17 11:00:00,Fan,24.5,57.8,0.4,0.037
2024-01-17 12:00:00,Bulb,11.7,40.1,0.53,0.055
2024-01-17 13:00:00,Air Conditioner,20.4,42.5,0.87,1.973
2024-01-17 14:00:00,Laptop,26.7,34.8,0.57,0.008
2024-01-17 15:00:00,Laptop,23.0,64.6,0.7,0.15
2024-01-17 16:00:00,Heater,31.7,49.7,1.45,3.658
2024-01-17 17:00:00,Fan,27.1,52.9,2.16,0.445
2024-01-17 18:00:00,Dishwasher,18.7,52.8,2.0,3.613
2024-01-17 19:00:00,Bulb,22.1,46.4,2.53,0.218
